Country,ISO,Currency,Currency_code,Status,Withdrawl_date,country_type,,
PAKISTAN,PAK,Pakistan Rupee,PKR,Active,ongoing,Sovereign country,,
PALAU,PLW,US Dollar,USD,Active,ongoing,0,,
"PALESTINE, STATE OF",PSE,No universal currency,,Active,ongoing,0,,
PANAMA,PAN,Balboa,PAB,Active,ongoing,Sovereign country,,
PANAMA,PAN,US Dollar,USD,Active,ongoing,Sovereign country,,
PAPUA NEW GUINEA,PNG,Kina,PGK,Active,ongoing,Sovereign country,,
PARAGUAY,PRY,Guarani,PYG,Active,ongoing,Sovereign country,,
PERU,PER,Sol,PEH,Historic,1989 to 1990,Sovereign country,,
PERU,PER,Inti,PEI,Historic,1991-07,Sovereign country,,
PERU,PER,Sol,PEN,Active,ongoing,Sovereign country,,
PERU,PER,Nuevo Sol ,PEN,Historic,2015-12,Sovereign country,,
PERU,PER,Sol,PES,Historic,1986-02,Sovereign country,,
PHILIPPINES (THE),PHL,Philippine Peso,PHP,Active,ongoing,Sovereign country,,
PITCAIRN,PCN,New Zealand Dollar,NZD,Active,ongoing,0,,
POLAND,POL,Zloty,PLN,Active,ongoing,Sovereign country,,
POLAND,POL,Zloty,PLZ,Historic,1997-01,Sovereign country,,
PORTUGAL,PRT,Euro,EUR,Active,ongoing,Sovereign country,,
PORTUGAL,PRT,Portuguese Escudo,PTE,Historic,2002-03,Sovereign country,,
PUERTO RICO,PRI,US Dollar,USD,Active,ongoing,Dependency,,
QATAR,QAT,Qatari Rial,QAR,Active,ongoing,Sovereign country,,
RÉUNION,REU,Euro,EUR,Active,ongoing,0,,
RÉUNION,REU,French Franc,FRF,Historic,2002-03,0,,
ROMANIA,ROU,Leu A/52,ROK,Historic,1989 to 1990,Sovereign country,,
ROMANIA,ROU,Old Leu,ROL,Historic,2005-06,Sovereign country,,
ROMANIA,ROU,Romanian Leu,RON,Active,ongoing,Sovereign country,,
ROMANIA,ROU,New Romanian Leu ,RON,Historic,2015-06,Sovereign country,,
RUSSIAN FEDERATION,RUS,Russian Ruble,RUR,Historic,2004-01,Sovereign country,,
RUSSIAN FEDERATION (THE),RUS,Russian Ruble,RUB,Active,ongoing,Sovereign country,,
RWANDA,RWA,Rwanda Franc,RWF,Active,ongoing,Sovereign country,,
SAINT BARTHÉLEMY,BLM,Euro,EUR,Active,ongoing,0,,
"SAINT HELENA, ASCENSION AND TRISTAN DA CUNHA",SHN,Saint Helena Pound,SHP,Active,ongoing,0,,
SAINT KITTS AND NEVIS,KNA,East Caribbean Dollar,XCD,Active,ongoing,0,,
SAINT LUCIA,LCA,East Caribbean Dollar,XCD,Active,ongoing,0,,
SAINT MARTIN,MAF,French Franc,FRF,Historic,1999-01,0,,
SAINT MARTIN (FRENCH PART),MAF,Euro,EUR,Active,ongoing,0,,
SAINT PIERRE AND MIQUELON,SPM,Euro,EUR,Active,ongoing,0,,
SAINT PIERRE AND MIQUELON,SPM,French Franc,FRF,Historic,2002-03,0,,
SAINT VINCENT AND THE GRENADINES,VCT,East Caribbean Dollar,XCD,Active,ongoing,0,,
SAINT-BARTHÉLEMY,BLM,French Franc,FRF,Historic,1999-01,0,,
SAMOA,WSM,Tala,WST,Active,ongoing,0,,
SAN MARINO,SMR,Euro,EUR,Active,ongoing,0,,
SAN MARINO,SMR,Italian Lira,ITL,Historic,2002-03,0,,
SAO TOME AND PRINCIPE,STP,Dobra,STD,Historic,2017-12,0,,
SAO TOME AND PRINCIPE,STP,Dobra,STN,Active,ongoing,0,,
SAUDI ARABIA,SAU,Saudi Riyal,SAR,Active,ongoing,Sovereign country,,
SENEGAL,SEN,CFA Franc BCEAO,XOF,Active,ongoing,Sovereign country,,
SERBIA,SRB,Serbian Dinar,RSD,Active,ongoing,Sovereign country,,
SERBIA AND MONTENEGRO,SCG ,Serbian Dinar,CSD,Historic,2006-10,0,,
SERBIA AND MONTENEGRO,SCG ,Euro,EUR,Historic,2006-10,0,,
SEYCHELLES,SYC,Seychelles Rupee,SCR,Active,ongoing,0,,
SIERRA LEONE,SLE,Leone,SLE,Active,ongoing,Sovereign country,,
SIERRA LEONE,SLE,Leone,SLL,Active,ongoing,Sovereign country,,
SINGAPORE,SGP,Singapore Dollar,SGD,Active,ongoing,0,,
SINT MAARTEN (DUTCH PART),SXM,Netherlands Antillean Guilder,ANG,Active,ongoing,0,,
